subject,group,story_id,word_number
9,Visual,3,736
9,Visual,3,802
9,Visual,3,873
9,Visual,3,945
9,Visual,3,1043
9,Visual,3,1110
9,Visual,3,1160
9,Visual,3,1242
9,Visual,3,1333
9,Visual,3,1406
9,Visual,3,1464
9,Visual,3,1523
9,Visual,3,1613
9,Visual,3,1671
10,Visual,1,307
10,Visual,1,453
10,Visual,1,858
10,Visual,1,1048
10,Visual,2,277
10,Visual,2,536
10,Visual,2,583
10,Visual,2,938
10,Visual,3,402
10,Visual,3,663
10,Visual,3,884
10,Visual,3,1307
10,Visual,3,1501
11,Visual,1,71
11,Visual,1,148
11,Visual,1,290
11,Visual,1,577
11,Visual,1,710
11,Visual,1,913
11,Visual,1,1091
11,Visual,1,1462
11,Visual,2,102
11,Visual,2,180
11,Visual,2,222
11,Visual,2,353
11,Visual,2,481
11,Visual,2,706
11,Visual,2,809
11,Visual,2,884
11,Visual,2,1077
11,Visual,2,1351
11,Visual,3,122
11,Visual,3,250
11,Visual,3,333
11,Visual,3,418
11,Visual,3,522
11,Visual,3,598
11,Visual,3,622
11,Visual,3,945
11,Visual,3,1122
11,Visual,3,1416
12,Visual,1,51
12,Visual,1,71
12,Visual,1,138
12,Visual,1,252
12,Visual,1,313
12,Visual,1,491
12,Visual,1,564
12,Visual,1,646
12,Visual,1,805
12,Visual,1,1003
12,Visual,1,1225
12,Visual,1,1361
12,Visual,1,1487
12,Visual,1,1505
12,Visual,1,1582
12,Visual,2,18
12,Visual,2,120
12,Visual,2,197
12,Visual,2,222
12,Visual,2,353
12,Visual,2,493
12,Visual,2,706
12,Visual,2,938
12,Visual,2,962
12,Visual,2,1127
12,Visual,2,1237
12,Visual,2,1484
12,Visual,3,21
12,Visual,3,26
12,Visual,3,122
12,Visual,3,167
12,Visual,3,275
12,Visual,3,333
12,Visual,3,488
12,Visual,3,499
12,Visual,3,603
12,Visual,3,622
12,Visual,3,773
12,Visual,3,884
12,Visual,3,945
12,Visual,3,1088
12,Visual,3,1147
12,Visual,3,1310
12,Visual,3,1416
12,Visual,3,1501
12,Visual,3,1523
12,Visual,3,1671
13,Visual,1,84
13,Visual,1,148
13,Visual,1,290
13,Visual,1,307
13,Visual,1,324
13,Visual,1,340
13,Visual,1,499
13,Visual,1,526
13,Visual,1,577
13,Visual,1,640
13,Visual,1,734
13,Visual,1,760
13,Visual,1,875
13,Visual,1,1017
13,Visual,1,1052
13,Visual,1,1178
13,Visual,1,1257
13,Visual,1,1462
13,Visual,1,1497
13,Visual,1,1613
13,Visual,2,32
13,Visual,2,102
13,Visual,2,228
13,Visual,2,376
13,Visual,2,481
13,Visual,2,663
13,Visual,2,884
13,Visual,2,962
13,Visual,2,1021
13,Visual,2,1115
13,Visual,2,1237
13,Visual,2,1268
13,Visual,3,26
13,Visual,3,173
13,Visual,3,250
13,Visual,3,313
13,Visual,3,522
13,Visual,3,585
13,Visual,3,622
13,Visual,3,685
13,Visual,3,773
13,Visual,3,835
13,Visual,3,873
13,Visual,3,945
13,Visual,3,1122
13,Visual,3,1173
13,Visual,3,1310
13,Visual,3,1517
13,Visual,3,1662
14,Visual,1,71
14,Visual,1,138
14,Visual,1,252
14,Visual,1,290
14,Visual,1,360
14,Visual,1,491
14,Visual,1,577
14,Visual,1,656
14,Visual,1,710
14,Visual,1,828
14,Visual,1,1003
14,Visual,1,1091
14,Visual,1,1122
14,Visual,1,1257
14,Visual,1,1437
14,Visual,1,1582
14,Visual,2,115
14,Visual,2,222
14,Visual,2,376
14,Visual,2,481
14,Visual,2,603
14,Visual,2,706
14,Visual,2,884
14,Visual,2,962
14,Visual,2,1115
14,Visual,2,1237
14,Visual,2,1293
14,Visual,3,122
14,Visual,3,265
14,Visual,3,333
14,Visual,3,418
14,Visual,3,522
14,Visual,3,598
14,Visual,3,835
14,Visual,3,954
14,Visual,3,1043
14,Visual,3,1310
14,Visual,3,1406
14,Visual,3,1688
15,Visual,1,71
15,Visual,1,148
15,Visual,1,175
15,Visual,1,290
15,Visual,1,478
15,Visual,1,710
15,Visual,1,858
15,Visual,1,1298
15,Visual,1,1462
15,Visual,2,102
15,Visual,2,222
15,Visual,2,376
15,Visual,2,493
15,Visual,2,663
15,Visual,2,884
15,Visual,2,962
15,Visual,2,1127
15,Visual,2,1237
15,Visual,3,122
15,Visual,3,333
15,Visual,3,522
15,Visual,3,622
15,Visual,3,788
15,Visual,3,873
15,Visual,3,1147
15,Visual,3,1310
15,Visual,3,1501
16,Visual,1,51
16,Visual,1,71
16,Visual,1,115
16,Visual,1,148
16,Visual,1,203
16,Visual,1,273
16,Visual,1,290
16,Visual,1,313
16,Visual,1,340
16,Visual,1,478
16,Visual,1,526
16,Visual,1,577
16,Visual,1,656
16,Visual,1,710
16,Visual,1,828
16,Visual,1,849
16,Visual,1,1063
16,Visual,1,1178
16,Visual,1,1257
16,Visual,1,1298
16,Visual,1,1355
16,Visual,1,1505
16,Visual,2,115
16,Visual,2,180
16,Visual,2,222
16,Visual,2,353
16,Visual,2,481
16,Visual,2,493
16,Visual,2,583
16,Visual,2,663
16,Visual,2,706
16,Visual,2,726
16,Visual,2,773
16,Visual,2,818
16,Visual,2,938
16,Visual,2,962
16,Visual,2,1021
16,Visual,2,1127
16,Visual,2,1206
16,Visual,2,1237
16,Visual,2,1293
16,Visual,2,1338
16,Visual,2,1372
16,Visual,2,1449
16,Visual,3,77
16,Visual,3,122
16,Visual,3,141
16,Visual,3,232
16,Visual,3,333
16,Visual,3,367
16,Visual,3,418
16,Visual,3,488
16,Visual,3,499
16,Visual,3,598
16,Visual,3,622
16,Visual,3,788
16,Visual,3,963
16,Visual,3,1122
16,Visual,3,1263
16,Visual,3,1310
16,Visual,3,1384
16,Visual,3,1501
17,Visual,1,71
17,Visual,1,138
17,Visual,1,273
17,Visual,1,307
17,Visual,1,491
17,Visual,1,526
17,Visual,1,710
17,Visual,1,760
17,Visual,1,828
17,Visual,1,1003
17,Visual,1,1191
17,Visual,1,1282
17,Visual,1,1456
17,Visual,1,1613
17,Visual,2,115
17,Visual,2,222
17,Visual,2,353
17,Visual,2,481
17,Visual,2,583
17,Visual,2,809
17,Visual,2,884
17,Visual,2,1127
17,Visual,2,1293
17,Visual,3,122
17,Visual,3,313
17,Visual,3,499
17,Visual,3,585
17,Visual,3,622
17,Visual,3,844
17,Visual,3,937
17,Visual,3,1088
17,Visual,3,1122
17,Visual,3,1310
17,Visual,3,1406
17,Visual,3,1501
18,Visual,1,71
18,Visual,1,138
