model,story_id,subject1,subject2,isc,off_diag_isc
la,1,1,2,0.49361995990703117,0.395930358806612
la,1,1,3,0.2613660976813823,0.2379302737583394
la,1,1,4,0.242699386960263,0.23459482461532916
la,1,1,5,0.4941915084439104,0.3866165789935901
la,1,1,6,0.4759735288778812,0.36076194289302926
la,1,1,7,0.5008595665465216,0.3733980061876118
la,1,1,8,0.3941465202105722,0.3610107601679995
la,1,1,9,0.4690127653819898,0.33433364469941196
la,1,1,10,0.4305582268642149,0.3568073313382108
la,1,1,11,0.3660009756116812,0.30586354531062826
la,1,1,12,0.39381008584707144,0.3010617965334064
la,1,1,13,0.4705961532070745,0.36016199163808543
la,1,1,14,0.4340171972245434,0.4033862158047872
la,1,1,15,0.47734557453166976,0.3823270596244856
la,1,1,16,0.4585557038305551,0.34438448722245363
la,1,1,17,0.42021585957814217,0.31692147037010115
la,1,1,18,0.39319168661980664,0.3119308036440708
la,1,1,19,0.5160156063222159,0.388293590914727
la,1,1,20,0.4443555490344691,0.2721613545225603
la,1,2,3,0.29176401591881146,0.2342862130469342
la,1,2,4,0.19456893974123163,0.1836970674407544
la,1,2,5,0.5685390849080504,0.495300868563604
la,1,2,6,0.547296178347173,0.42521335797412646
la,1,2,7,0.5295053639234955,0.4209000983196397
la,1,2,8,0.5519233920698424,0.4692444910632188
la,1,2,9,0.440778134622776,0.38630194302295073
la,1,2,10,0.5616409069618344,0.4231632328513458
la,1,2,11,0.4004024812809953,0.35399670630944463
la,1,2,12,0.4987043243795807,0.3846636567004281
la,1,2,13,0.4766590823047098,0.3905622807898137
la,1,2,14,0.5471532053530175,0.4508944254819419
la,1,2,15,0.6201825268974192,0.47436250930535245
la,1,2,16,0.5163638065462646,0.4195658862261949
la,1,2,17,0.5092547709172758,0.3895533573092221
la,1,2,18,0.47437918452767847,0.3317353871643929
la,1,2,19,0.523508575277946,0.43308919111102673
la,1,2,20,0.4260530617625113,0.3407501906264193
la,1,3,4,0.2372002457942351,0.21398302958686552
la,1,3,5,0.30617134057526313,0.3008922851758621
la,1,3,6,0.3011214636472736,0.2516391662428574
la,1,3,7,0.29632262965855877,0.26672687234367015
la,1,3,8,0.2856027580199659,0.2946236968011678
la,1,3,9,0.2610746886823826,0.2637841315067745
la,1,3,10,0.29723398180714117,0.2889544207565609
la,1,3,11,0.3835067943922911,0.345260741038255
la,1,3,12,0.3385256275558223,0.34709539731947253
la,1,3,13,0.28524255734372134,0.2176466333735258
la,1,3,14,0.3384524115817855,0.3335645415952828
la,1,3,15,0.29395667267744957,0.2846197000727834
la,1,3,16,0.2965214020441411,0.2691587890053374
la,1,3,17,0.30290966950999304,0.2734763035584095
la,1,3,18,0.2981986709030737,0.21898803998269592
la,1,3,19,0.297874739389644,0.27873717617428584
la,1,3,20,0.2716975259787476,0.2788865170266806
la,1,4,5,0.21452492894294253,0.22918803265784365
la,1,4,6,0.24635552365843694,0.22228974904856083
la,1,4,7,0.2115598117383033,0.223726414485358
la,1,4,8,0.2374104085667235,0.21648173225815354
la,1,4,9,0.22485942284320318,0.2154383238825885
la,1,4,10,0.25783068883560656,0.25765914355165725
la,1,4,11,0.20083790190187875,0.20257200115669566
la,1,4,12,0.2819467360951369,0.2633041843934254
la,1,4,13,0.23398519815627855,0.21842874319349168
la,1,4,14,0.30732502245566296,0.3080804360016215
la,1,4,15,0.21022012646476354,0.20414642304825023
la,1,4,16,0.282512629121426,0.2747384464473045
la,1,4,17,0.20592638236213395,0.1988433224347522
la,1,4,18,0.27386646528753256,0.2764815438504905
la,1,4,19,0.27645770299909755,0.26649820641420413
la,1,4,20,0.2757141427281721,0.25762604982740384
